'0.11999999999999998', '0.13999999999999999', '0.15', '0.17', '0.16', '0.15', '0.09', '0.18000000000000002', '0.11999999999999998', '0.09999999999999999', '0.16', '0.18000000000000002', '0.12999999999999998', '0.16', '0.17', '0.12999999999999998', '0.10999999999999999', '0.17', '0.16', '0.07', '0.09999999999999999', '0.09', '0.09999999999999999', '0.19000000000000003', '0.12999999999999998', '0.13999999999999999', '0.18000000000000002', '0.17', '0.09999999999999999', '0.12999999999999998', '0.15', '0.16', '0.10999999999999999', '0.11999999999999998', '0.12999999999999998', '0.16', '0.17', '0.13999999999999999', '0.10999999999999999', '0.10999999999999999', '0.10999999999999999', '0.12999999999999998', '0.11999999999999998', '0.12999999999999998', '0.17', '0.15', '0.18000000000000002', '0.15', '0.11999999999999998', '0.12999999999999998', '0.19000000000000003', '0.17', '0.10999999999999999', '0.08', '0.11999999999999998', '0.19000000000000003', '0.13999999999999999', '0.10999999999999999', '0.10999999999999999', '0.09999999999999999', '0.19000000000000003', '0.10999999999999999', '0.12999999999999998', '0.16', '0.17', '0.16', '0.12999999999999998', '0.15', '0.15', '0.09999999999999999', '0.13999999999999999', '0.11999999999999998', '0.11999999999999998', '0.09', '0.09', '0.18000000000000002', '0.10999999999999999', '0.09999999999999999', '0.18000000000000002', '0.13999999999999999', '0.12999999999999998', '0.13999999999999999', '0.09', '0.13999999999999999', '0.18000000000000002', '0.15', '0.16', '0.17', '0.10999999999999999', '0.17', '0.11999999999999998', '0.09999999999999999', '0.11999999999999998', '0.09999999999999999', '0.16', '0.13999999999999999', '0.10999999999999999', '0.15', '0.15', '0.09'
'0.02', '0.03', '0.02', '0.02', '0.02', '0.0', '0.04', '0.0', '0.03', '0.01', '0.03', '0.03', '0.03', '0.04', '0.03', '0.03', '0.02', '0.03', '0.03', '0.07', '0.060000000000000005', '0.02', '0.04', '0.05', '0.02', '0.0', '0.02', '0.02', '0.07', '0.02', '0.04', '0.060000000000000005', '0.0', '0.03', '0.03', '0.03', '0.01', '0.05', '0.02', '0.060000000000000005', '0.0', '0.01', '0.03', '0.02', '0.03', '0.05', '0.04', '0.01', '0.03', '0.04', '0.03', '0.02', '0.04', '0.02', '0.03', '0.01', '0.02', '0.03', '0.02', '0.01', '0.04', '0.02', '0.05', '0.0', '0.01', '0.02', '0.02', '0.04', '0.02', '0.02', '0.03', '0.02', '0.060000000000000005', '0.03', '0.02', '0.04', '0.04', '0.03', '0.0', '0.02', '0.03', '0.02', '0.01', '0.04', '0.01', '0.04', '0.04', '0.04', '0.01', '0.01', '0.04', '0.03', '0.01', '0.04', '0.0', '0.02', '0.04', '0.04', '0.02', '0.01'
'0.03', '0.04', '0.04', '0.02', '0.060000000000000005', '0.060000000000000005', '0.01', '0.05', '0.05', '0.05', '0.05', '0.060000000000000005', '0.060000000000000005', '0.060000000000000005', '0.03', '0.03', '0.03', '0.05', '0.07', '0.04', '0.02', '0.060000000000000005', '0.05', '0.060000000000000005', '0.01', '0.05', '0.05', '0.03', '0.05', '0.07', '0.05', '0.02', '0.02', '0.09', '0.03', '0.08', '0.060000000000000005', '0.04', '0.03', '0.08', '0.04', '0.07', '0.07', '0.060000000000000005', '0.07', '0.03', '0.060000000000000005', '0.04', '0.060000000000000005', '0.05', '0.02', '0.09', '0.09', '0.05', '0.07', '0.060000000000000005', '0.02', '0.07', '0.02', '0.04', '0.04', '0.03', '0.03', '0.03', '0.060000000000000005', '0.09', '0.05', '0.02', '0.03', '0.02', '0.03', '0.03', '0.04', '0.04', '0.04', '0.05', '0.060000000000000005', '0.07', '0.04', '0.03', '0.02', '0.04', '0.07', '0.07', '0.03', '0.08', '0.01', '0.060000000000000005', '0.03', '0.05', '0.04', '0.060000000000000005', '0.060000000000000005', '0.03', '0.04', '0.01', '0.05', '0.05', '0.01', '0.01'
