problem_id, total rewards, total failures, avg steps to reward, best-case steps to reward, worst case steps to reward, steps to first goal
0, 49998, 2, 2.00020000800032, 2, 8, 3
1, 26768, 23232, 5.49988792588165, 4, 31, 8
2, 24901, 25099, 11.766595719047428, 4, 89, 6
averages, 25416.75, 12083.25, 4.8166709132323495, 2.5, 32.0, 4.25
