problem_id, total rewards, total failures, avg steps to reward, best-case steps to reward, worst case steps to reward, steps to first goal
0, 26666, 23334, 14.266256656416411, 12, 82, 14
1, 47200, 2800, 10.002860169491525, 10, 48, 17
2, 14489, 35511, 13.063496445579405, 8, 70, 32
3, 4080, 45920, 18.08921568627451, 11, 115, 50
4, 5919, 44081, 29.385031255279607, 12, 134, 24
5, 8216, 41784, 45.52702044790652, 14, 288, 35
6, 3, 49997, 25.666666666666668, 14, 40, 14
7, 23678, 26322, 9.011994256271645, 8, 27, 27
averages, 16281.375, 33718.625, 20.626567697985784, 11.125, 100.5, 26.625
