problem_id, total rewards, total failures, avg steps to reward, best-case steps to reward, worst case steps to reward, steps to first goal
0, 50000, 0, 144.0, 144, 144, 144
1, 50000, 0, 135.0, 135, 135, 135
2, 50000, 0, 92.0, 92, 92, 92
3, 50000, 0, 82.0, 82, 82, 82
4, 50000, 0, 111.0, 111, 111, 111
5, 50000, 0, 114.0, 114, 114, 114
6, 50000, 0, 68.0, 68, 68, 68
7, 50000, 0, 124.0, 124, 124, 124
averages, 50000.0, 0.0, 108.75, 108.75, 108.75, 108.75
