'-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4700000000000003', '-0.4850000000000003', '0.18999999999999995', '0.28', '0.2950000000000001', '0.1749999999999998', '0.235', '0.21999999999999983', '0.265', '0.11499999999999982', '0.18999999999999992', '0.26500000000000007', '0.11499999999999994', '0.21999999999999992', '0.37000000000000016', '0.3250000000000001', '0.12999999999999973', '0.21999999999999992', '0.205', '0.31000000000000005', '0.26500000000000007', '0.21999999999999995', '0.27999999999999997', '0.25', '0.265', '0.2800000000000001', '0.20500000000000007', '0.1749999999999998', '0.22000000000000003', '0.19000000000000009', '0.3550000000000001', '0.25', '0.43000000000000016', '0.3850000000000002', '0.41500000000000026', '0.205', '0.3850000000000001', '0.23499999999999996', '0.20499999999999985', '0.25000000000000006', '0.13000000000000006', '0.3850000000000001', '0.3250000000000001', '0.28', '0.21999999999999997', '0.23500000000000007', '0.1749999999999998', '0.28', '0.37000000000000016', '0.2950000000000001', '0.3850000000000002', '0.2800000000000001', '0.1299999999999998', '0.25', '0.2950000000000001', '0.25', '0.28', '0.3250000000000001', '0.23500000000000004', '0.28', '0.34', '0.06999999999999999', '0.3850000000000002', '0.3100000000000001', '0.23499999999999996', '0.21999999999999995', '0.22000000000000003', '0.18999999999999997', '0.27999999999999997', '0.20500000000000004', '0.15999999999999986', '0.29500000000000004', '0.28', '0.1749999999999999', '0.29499999999999993', '0.20499999999999993', '0.28', '0.3850000000000002', '0.31000000000000005', '0.29500000000000004', '0.18999999999999995'
'-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.4850000000000004', '-0.4850000000000003', '0.15999999999999992', '0.7900000000000005', '0.7750000000000005', '0.8500000000000005', '0.9400000000000006', '0.8950000000000006', '0.7900000000000005', '0.8650000000000005', '0.8350000000000005', '0.8950000000000006', '0.8050000000000005', '0.8200000000000005', '0.7750000000000005', '0.8200000000000005', '0.8050000000000005', '0.8500000000000005', '0.8350000000000005', '0.8500000000000005', '0.7150000000000004', '0.8950000000000006', '0.7900000000000005', '0.7900000000000005', '0.8200000000000005', '0.8350000000000005', '0.7600000000000005', '0.8800000000000006', '0.8500000000000005', '0.7600000000000005', '0.8050000000000005', '0.8650000000000005', '0.7750000000000005', '0.8500000000000005', '0.8500000000000005', '0.7300000000000004', '0.7750000000000005', '0.9100000000000006', '0.8650000000000005', '0.8200000000000005', '0.8350000000000005', '0.8800000000000006', '0.7900000000000005', '0.8350000000000005', '0.8800000000000006', '0.8950000000000006', '0.8350000000000005', '0.7600000000000005', '0.8200000000000005', '0.8650000000000005', '0.8050000000000005', '0.8500000000000005', '0.7750000000000005', '0.8500000000000005', '0.8950000000000006', '0.7900000000000005', '0.7600000000000005', '0.8650000000000005', '0.8350000000000005', '0.8200000000000005', '0.8050000000000005', '0.8350000000000005', '0.8800000000000006', '0.8200000000000005', '0.8800000000000006', '0.8500000000000005', '0.8650000000000005', '0.9100000000000006', '0.8650000000000005', '0.8200000000000005', '0.8500000000000005', '0.8650000000000005', '0.8650000000000005', '0.8650000000000005', '0.8500000000000005', '0.8800000000000006', '0.9400000000000006', '0.9100000000000006', '0.8650000000000005', '0.7000000000000004', '0.8050000000000005', '0.8650000000000005', '0.8350000000000005', '0.8950000000000006', '0.7900000000000005', '0.8950000000000006', '0.7900000000000005'
'-0.4850000000000003', '-0.12500000000000022', '0.08499999999999999', '0.039999999999999945', '0.009999999999999749', '0.1749999999999999', '-0.019999999999999983', '-0.03500000000000001', '0.010000000000000016', '-0.03499999999999999', '-0.005000000000000081', '0.010000000000000047', '-0.11000000000000004', '0.03999999999999999', '0.11499999999999996', '-0.065', '0.05500000000000005', '0.11499999999999985', '0.010000000000000057', '-0.09500000000000004', '-0.04999999999999998', '-0.020000000000000056', '0.07000000000000002', '0.08499999999999988', '-0.03499999999999995', '-0.004999999999999995', '0.025000000000000022', '-0.004999999999999975', '0.08499999999999963', '-0.06500000000000004', '-0.0800000000000002', '0.009999999999999983', '0.11499999999999978', '-0.019999999999999962', '0.17499999999999993', '0.024999999999999988', '0.15999999999999992', '-0.08000000000000008', '-0.019999999999999983', '0.04000000000000005', '0.09999999999999998', '0.04000000000000001', '-0.14000000000000026', '0.03999999999999999', '-0.00499999999999996', '0.009999999999999985', '0.07000000000000002', '-0.004999999999999946', '0.09999999999999974', '0.02499999999999998', '-0.004999999999999967', '0.09999999999999984', '0.009999999999999967', '0.15999999999999992', '-0.06500000000000007', '0.07000000000000002', '0.010000000000000005', '-0.01999999999999997', '0.024999999999999994', '0.09999999999999996', '0.07', '-0.04999999999999997', '0.009999999999999922', '-0.019999999999999962', '0.06999999999999991', '0.11499999999999992', '-0.12499999999999999', '0.025000000000000057', '-0.065', '-0.03499999999999998', '-0.08000000000000008', '-0.004999999999999985', '-0.03499999999999997', '-0.019999999999999993', '-0.0349999999999999', '0.12999999999999995', '-0.14', '-0.049999999999999926', '-0.03499999999999995', '0.08499999999999977', '-0.04999999999999994', '0.010000000000000002', '-0.08000000000000011', '0.055000000000000035', '-0.049999999999999954', '-0.08000000000000003', '0.05500000000000008', '-0.04999999999999996', '0.039999999999999834', '0.06999999999999998', '-0.019999999999999893', '0.11499999999999991', '0.11499999999999981', '0.07000000000000003', '-0.08000000000000024', '-0.00499999999999995', '-0.004999999999999961', '-0.00499999999999995', '0.040000000000000084', '0.024999999999999967'
'-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.45500000000000035', '-0.3800000000000002', '-0.32000000000000023', '-0.3350000000000002', '-0.2900000000000002', '-0.24500000000000016', '-0.4700000000000003', '-0.36500000000000027', '-0.26000000000000023', '-0.3050000000000002', '-0.24500000000000016', '-0.33500000000000024', '-0.33500000000000024', '-0.36500000000000027', '-0.33500000000000024', '-0.29000000000000015', '-0.42500000000000027', '-0.2900000000000002', '-0.23000000000000015', '-0.36500000000000027', '-0.27500000000000013', '-0.35000000000000026', '-0.32000000000000023', '-0.29000000000000015', '-0.33500000000000024', '-0.3800000000000003', '-0.30500000000000016', '-0.27500000000000013', '-0.3500000000000002', '-0.3500000000000002', '-0.35000000000000026', '-0.35000000000000026', '-0.3050000000000002', '-0.3500000000000002', '-0.3050000000000002', '-0.3050000000000002', '-0.29000000000000015', '-0.35000000000000026', '-0.3350000000000002', '-0.3050000000000002', '-0.3800000000000002', '-0.2900000000000002', '-0.2900000000000002', '-0.2900000000000002', '-0.33500000000000024', '-0.3950000000000003', '-0.29000000000000015', '-0.2750000000000002', '-0.32000000000000023', '-0.3650000000000002', '-0.33500000000000024', '-0.35000000000000026', '-0.2750000000000002', '-0.3800000000000002', '-0.3800000000000003', '-0.2300000000000002', '-0.27500000000000013', '-0.3800000000000003', '-0.3650000000000002', '-0.32000000000000023', '-0.35000000000000026', '-0.4100000000000003', '-0.3950000000000003', '-0.3650000000000002', '-0.36500000000000027', '-0.3650000000000002', '-0.3800000000000003', '-0.36500000000000027', '-0.3500000000000003', '-0.2750000000000002', '-0.2900000000000002', '-0.32000000000000023', '-0.33500000000000024', '-0.4250000000000003', '-0.3200000000000002', '-0.36500000000000027', '-0.3350000000000002', '-0.3800000000000003', '-0.45500000000000035', '-0.2600000000000002', '-0.33500000000000024', '-0.42500000000000027', '-0.4400000000000003', '-0.3350000000000002', '-0.33500000000000024', '-0.33500000000000024', '-0.3200000000000003', '-0.3800000000000003', '-0.32000000000000023', '-0.39500000000000024', '-0.3500000000000002', '-0.3350000000000002'
'-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.42500000000000027', '-0.35000000000000026', '-0.27500000000000013', '-0.32000000000000023', '-0.4250000000000003', '-0.36500000000000027', '-0.4100000000000003', '-0.36500000000000027', '-0.3350000000000002', '-0.3800000000000002', '-0.2600000000000002', '-0.35000000000000026', '-0.32000000000000023', '-0.35000000000000026', '-0.2600000000000001', '-0.35000000000000026', '-0.36500000000000027', '-0.41000000000000025', '-0.3200000000000002', '-0.3500000000000002', '-0.2900000000000002', '-0.3950000000000003', '-0.3650000000000002', '-0.3050000000000002', '-0.3350000000000002', '-0.33500000000000024', '-0.2450000000000002', '-0.36500000000000027', '-0.36500000000000027', '-0.35000000000000026', '-0.2600000000000001', '-0.3950000000000003', '-0.2750000000000002', '-0.36500000000000027', '-0.29000000000000026', '-0.36500000000000027', '-0.32000000000000023', '-0.33500000000000024', '-0.32000000000000023', '-0.4400000000000003', '-0.36500000000000027', '-0.3800000000000002', '-0.32000000000000023', '-0.3800000000000003', '-0.32000000000000023', '-0.27500000000000013', '-0.2450000000000002', '-0.36500000000000027', '-0.3050000000000002', '-0.3800000000000002', '-0.35000000000000026', '-0.32000000000000023', '-0.2900000000000002', '-0.24500000000000016', '-0.42500000000000027', '-0.33500000000000024', '-0.33500000000000024', '-0.29000000000000015', '-0.36500000000000027', '-0.3200000000000002', '-0.3050000000000002', '-0.27500000000000024', '-0.3800000000000002', '-0.3800000000000002', '-0.3500000000000002', '-0.36500000000000027', '-0.36500000000000027', '-0.3950000000000003', '-0.3950000000000003', '-0.3350000000000002', '-0.3200000000000002', '-0.33500000000000024', '-0.32000000000000023', '-0.32000000000000023', '-0.33500000000000024', '-0.32000000000000023', '-0.29000000000000015', '-0.3350000000000002', '-0.3200000000000003', '-0.39500000000000024', '-0.29000000000000015', '-0.33500000000000024', '-0.33500000000000024', '-0.3650000000000002', '-0.3800000000000003', '-0.3800000000000002', '-0.3200000000000002', '-0.3200000000000002', '-0.3350000000000003', '-0.39500000000000024'
'-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.4400000000000003', '-0.33500000000000024', '-0.15500000000000005', '-0.2000000000000001', '-0.18500000000000016', '-0.17000000000000015', '-0.20000000000000015', '-0.2150000000000002', '-0.0950000000000002', '-0.17000000000000012', '-0.3050000000000002', '-0.20000000000000015', '-0.2750000000000002', '-0.1250000000000001', '-0.11000000000000011', '-0.2600000000000002', '-0.21500000000000022', '-0.1400000000000001', '-0.24500000000000022', '-0.2600000000000001', '-0.1850000000000002', '-0.12500000000000014', '-0.1550000000000001', '-0.17000000000000032', '-0.17000000000000012', '-0.2750000000000002', '-0.2900000000000002', '-0.2000000000000003', '-0.14000000000000012', '-0.17000000000000018', '-0.2600000000000002', '-0.2150000000000002', '-0.21500000000000016', '-0.21500000000000016', '-0.03500000000000002', '-0.24500000000000016', '-0.24500000000000016', '-0.2000000000000001', '-0.2450000000000001', '-0.21500000000000016', '-0.18500000000000028', '-0.2600000000000003', '-0.14000000000000024', '-0.2150000000000001', '-0.14000000000000015', '-0.30500000000000016', '-0.1700000000000001', '-0.12500000000000008', '-0.17000000000000012', '-0.1250000000000001', '-0.24500000000000016', '-0.17000000000000004', '-0.18500000000000016', '-0.24500000000000027', '-0.14000000000000015', '-0.21500000000000014', '-0.24500000000000022', '-0.20000000000000007', '-0.1700000000000002', '-0.2900000000000002', '-0.2600000000000002', '-0.23000000000000018', '-0.17000000000000007', '-0.21500000000000022', '-0.23000000000000015', '-0.1100000000000002', '-0.17', '-0.18500000000000014', '-0.11000000000000017', '-0.2450000000000001', '-0.08000000000000024', '-0.15500000000000008', '-0.2300000000000002', '-0.24500000000000025', '-0.2750000000000002', '-0.23000000000000026', '-0.17000000000000012', '-0.17000000000000018', '-0.20000000000000015', '-0.2150000000000002', '-0.12500000000000014', '-0.39500000000000024', '-0.2150000000000002', '-0.17000000000000023', '-0.2750000000000002', '-0.2150000000000001', '-0.12500000000000014', '-0.21500000000000022', '-0.17000000000000018', '-0.1700000000000001', '-0.24500000000000016', '-0.18500000000000016', '-0.18500000000000016', '-0.17000000000000015', '-0.20000000000000018'
'-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4550000000000003', '-0.47000000000000036', '-0.4700000000000003', '-0.4700000000000003', '-0.4700000000000003', '-0.3950000000000003', '-0.4850000000000003', '-0.4550000000000003', '-0.4550000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.4850000000000003', '-0.4400000000000003', '-0.4700000000000003', '-0.4250000000000003', '-0.45500000000000035', '-0.4700000000000003', '-0.47000000000000036', '-0.4700000000000003', '-0.42500000000000027', '-0.4700000000000003', '-0.4250000000000003', '-0.4550000000000003', '-0.45500000000000035', '-0.4700000000000003', '-0.5000000000000003', '-0.4700000000000003', '-0.4850000000000003', '-0.45500000000000035', '-0.4400000000000003', '-0.4550000000000003', '-0.5000000000000003', '-0.5000000000000003', '-0.4700000000000003', '-0.4850000000000003', '-0.4400000000000003', '-0.4250000000000003', '-0.4700000000000003', '-0.4700000000000003', '-0.4250000000000003', '-0.47000000000000036', '-0.47000000000000036', '-0.4700000000000003', '-0.4550000000000003', '-0.44000000000000034', '-0.5000000000000003', '-0.4400000000000003', '-0.4700000000000003', '-0.45500000000000035', '-0.4400000000000003', '-0.45500000000000035', '-0.4850000000000004', '-0.4700000000000003', '-0.4550000000000003', '-0.4700000000000003', '-0.4850000000000003', '-0.45500000000000035', '-0.4550000000000003', '-0.4700000000000003', '-0.4700000000000003', '-0.4400000000000003', '-0.4100000000000003', '-0.4700000000000003', '-0.42500000000000027', '-0.47000000000000036', '-0.4550000000000003', '-0.4850000000000003', '-0.4850000000000003', '-0.4700000000000003', '-0.4700000000000003', '-0.4550000000000003', '-0.42500000000000027', '-0.5000000000000003', '-0.4850000000000003', '-0.4850000000000003', '-0.3950000000000003', '-0.4250000000000003', '-0.4550000000000003', '-0.4850000000000003', '-0.47000000000000036', '-0.4550000000000003', '-0.4700000000000003', '-0.4700000000000003', '-0.4550000000000003', '-0.4700000000000003', '-0.5000000000000003', '-0.4850000000000003', '-0.42500000000000027'
'-0.47000000000000036', '-0.39500000000000024', '0.06999999999999992', '0.26500000000000007', '0.16', '0.11499999999999988', '0.17499999999999993', '0.22000000000000003', '0.12999999999999992', '0.235', '0.17499999999999985', '0.3100000000000001', '0.20499999999999996', '0.2800000000000001', '0.23499999999999993', '0.08499999999999995', '0.12999999999999984', '0.12999999999999998', '0.14499999999999974', '0.08499999999999981', '0.23500000000000004', '0.1299999999999998', '0.18999999999999992', '0.21999999999999986', '0.22', '0.15999999999999995', '0.26499999999999996', '0.11499999999999977', '0.05499999999999991', '0.09999999999999995', '0.17500000000000002', '0.145', '0.21999999999999997', '0.26500000000000007', '0.175', '0.26500000000000007', '0.14499999999999988', '0.14499999999999996', '0.11499999999999969', '0.25000000000000006', '0.22', '0.19000000000000003', '0.2800000000000001', '0.19', '0.2049999999999999', '-0.004999999999999962', '0.25000000000000006', '0.23500000000000004', '0.22', '0.18999999999999995', '0.18999999999999997', '0.2049999999999999', '0.15999999999999992', '0.11499999999999988', '0.23499999999999996', '0.17499999999999996', '0.28', '0.20499999999999993', '0.3100000000000001', '0.12999999999999975', '0.22000000000000008', '0.21999999999999992', '0.295', '0.32500000000000007', '0.265', '0.12999999999999987', '0.23500000000000007', '0.325', '0.1449999999999999', '0.14499999999999996', '0.25000000000000006', '0.2050000000000001', '0.17499999999999985', '0.23500000000000004', '0.17499999999999993', '0.10000000000000005', '0.35500000000000015', '0.22000000000000003', '0.12999999999999987', '0.08500000000000002', '0.055000000000000035', '0.20499999999999988', '0.1449999999999999', '0.2800000000000001', '0.205', '0.25', '0.3250000000000001', '0.19000000000000003', '0.15999999999999984', '0.09999999999999966', '0.235', '0.26500000000000007', '0.28', '0.1449999999999998', '0.21999999999999997', '0.17499999999999996', '0.1749999999999999', '0.0849999999999999', '0.05500000000000004', '0.27999999999999997'
