'0.19000000000000003', '0.13999999999999999', '0.09999999999999999', '0.13999999999999999', '0.11999999999999998', '0.09999999999999999', '0.09999999999999999', '0.08', '0.11999999999999998', '0.16', '0.10999999999999999', '0.10999999999999999', '0.12999999999999998', '0.12999999999999998', '0.13999999999999999', '0.10999999999999999', '0.09', '0.10999999999999999', '0.15', '0.18000000000000002', '0.22000000000000006', '0.13999999999999999', '0.09', '0.09', '0.13999999999999999', '0.09999999999999999', '0.10999999999999999', '0.19000000000000003', '0.09', '0.16', '0.10999999999999999', '0.07', '0.11999999999999998', '0.10999999999999999', '0.09', '0.18000000000000002', '0.11999999999999998', '0.22000000000000006', '0.20000000000000004', '0.09', '0.12999999999999998', '0.12999999999999998', '0.16', '0.09', '0.20000000000000004', '0.16', '0.22000000000000006', '0.09', '0.19000000000000003', '0.15', '0.12999999999999998', '0.10999999999999999', '0.16', '0.12999999999999998', '0.11999999999999998', '0.11999999999999998', '0.12999999999999998', '0.11999999999999998', '0.12999999999999998', '0.20000000000000004', '0.11999999999999998', '0.17', '0.10999999999999999', '0.11999999999999998', '0.11999999999999998', '0.15', '0.12999999999999998', '0.12999999999999998', '0.11999999999999998', '0.10999999999999999', '0.16', '0.12999999999999998', '0.10999999999999999', '0.10999999999999999', '0.060000000000000005', '0.11999999999999998', '0.13999999999999999', '0.18000000000000002', '0.15', '0.08', '0.09999999999999999', '0.20000000000000004', '0.12999999999999998', '0.15', '0.11999999999999998', '0.10999999999999999', '0.09999999999999999', '0.09999999999999999', '0.12999999999999998', '0.18000000000000002', '0.18000000000000002', '0.13999999999999999', '0.22000000000000006', '0.13999999999999999', '0.17', '0.13999999999999999', '0.22000000000000006', '0.13999999999999999', '0.12999999999999998', '0.19000000000000003'
'0.060000000000000005', '0.02', '0.01', '0.0', '0.03', '0.01', '0.03', '0.0', '0.0', '0.01', '0.02', '0.0', '0.05', '0.03', '0.02', '0.03', '0.01', '0.02', '0.02', '0.01', '0.02', '0.04', '0.04', '0.03', '0.02', '0.01', '0.02', '0.0', '0.03', '0.03', '0.04', '0.03', '0.02', '0.0', '0.03', '0.0', '0.04', '0.01', '0.02', '0.04', '0.02', '0.04', '0.01', '0.02', '0.05', '0.04', '0.02', '0.07', '0.01', '0.01', '0.0', '0.03', '0.03', '0.05', '0.02', '0.03', '0.01', '0.0', '0.02', '0.02', '0.04', '0.01', '0.02', '0.0', '0.03', '0.01', '0.02', '0.02', '0.05', '0.03', '0.02', '0.01', '0.04', '0.01', '0.01', '0.01', '0.03', '0.03', '0.0', '0.03', '0.05', '0.03', '0.01', '0.01', '0.01', '0.03', '0.0', '0.03', '0.02', '0.04', '0.0', '0.03', '0.05', '0.03', '0.02', '0.01', '0.03', '0.02', '0.01', '0.01'
'0.08', '0.060000000000000005', '0.02', '0.03', '0.0', '0.03', '0.02', '0.03', '0.09999999999999999', '0.060000000000000005', '0.03', '0.05', '0.03', '0.03', '0.08', '0.04', '0.02', '0.07', '0.09', '0.02', '0.060000000000000005', '0.01', '0.05', '0.04', '0.02', '0.02', '0.03', '0.03', '0.03', '0.01', '0.03', '0.02', '0.04', '0.02', '0.060000000000000005', '0.04', '0.03', '0.060000000000000005', '0.03', '0.060000000000000005', '0.060000000000000005', '0.02', '0.09999999999999999', '0.04', '0.05', '0.05', '0.08', '0.060000000000000005', '0.060000000000000005', '0.03', '0.060000000000000005', '0.05', '0.03', '0.05', '0.05', '0.03', '0.04', '0.060000000000000005', '0.04', '0.07', '0.03', '0.05', '0.01', '0.09999999999999999', '0.04', '0.04', '0.04', '0.07', '0.03', '0.03', '0.05', '0.060000000000000005', '0.03', '0.01', '0.05', '0.04', '0.05', '0.02', '0.04', '0.02', '0.02', '0.04', '0.03', '0.02', '0.05', '0.04', '0.060000000000000005', '0.05', '0.060000000000000005', '0.03', '0.04', '0.07', '0.04', '0.060000000000000005', '0.05', '0.04', '0.03', '0.03', '0.060000000000000005', '0.04'
