problem_id, avg rewards in 10000 eps, avg failures in 10000 eps, avg iterations to reward, avg best-case iterations to reward, avg worst case iterations to reward
problem_0, 1380.84172, 10000.628430894874,7.610319983295724,2.00768,39.54242,15.18546
problem_1, 825.472745, 10002.20413422614,8.70988338142802,3.017115,36.753135,14.58571
problem_2, 692.8171766666667, 10000.197513930869,9.418053748096831,3.3562333333333334,38.78122666666667,12.188943333333333
problem_3, 580.58812, 10000.650834215716,9.023311662210546,3.2702525,37.364205,14.38413
