problem_id, avg rewards in 10000 eps, avg failures in 10000 eps, avg iterations to reward, avg best-case iterations to reward, avg worst case iterations to reward
problem_0, 1.19282, 9999.692789278928,40.78156,34.03083,50.79001,2664.17999
problem_1, 1.244075, 9999.644035843943,30.008538333333334,25.81545,36.12284,2498.824165
problem_2, 15.42069, 9999.319628620648,27.67467240167351,20.31662,43.309873333333336,1727.3435833333333
problem_3, 13.5657575, 9999.490065263595,27.294888192311515,18.9943425,41.9356125,1606.92854
problem_4, 11.597956, 9999.537421258976,26.692485472896834,18.663226,39.889994,1627.440524
problem_5, 10.330221666666667, 9999.546421903859,26.623269607043657,18.492048333333333,39.63255,1548.160015
problem_6, 8.92978, 9999.5579592753,24.31760680603742,17.23810142857143,35.57830571428571,1601.323
problem_7, 8.6209725, 9999.558094118089,23.3591124696636,16.28753625,34.43905625,1542.2499325
