'17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004'
'17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004', '17.000000000000004'
'19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007', '19.000000000000007'
'16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001', '16.00000000000001'
'25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0', '25.0'
'26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964', '26.999999999999964'
'13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025', '13.000000000000025'
'28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994', '28.99999999999994'
