problem_id, total rewards, total failures, avg steps to reward, best-case steps to reward, worst case steps to reward, episodes to first reward
0, 1, 9999, 27.0, 27, 27, 6124
1, 2, 9998, 32.0, 12, 52, 4586
2, 50, 9950, 22.28, 8, 49, 35
3, 10, 9990, 30.6, 17, 58, 1737
4, 2, 9998, 26.5, 22, 31, 6089
5, 3, 9997, 20.0, 12, 34, 411
6, 0, 10000, 0, 0, 0, 0
7, 6, 9994, 18.5, 10, 34, 441
averages, 9.25, 9990.75, 22.11, 13.5, 35.625, 2427.875
