problem_id, total rewards, total failures, avg steps to reward, best-case steps to reward, worst case steps to reward, steps to first goal
0, 18952, 31048, 14.343604896580835, 12, 96, 16353
1, 42868, 7132, 10.003242511896985, 10, 39, 5452
2, 14079, 35921, 13.919028340080972, 8, 86, 7
3, 4595, 45405, 17.707508161044615, 11, 57, 1839
4, 3510, 46490, 24.185470085470087, 12, 78, 7736
5, 13306, 36694, 14.36367052457538, 8, 81, 2397
6, 3, 49997, 27.0, 12, 36, 432
7, 24074, 25926, 8.993893827365623, 8, 23, 1724
